,CONSTITUENTSYSTEMID,DAYSDIFF,r_percentile,count_gifts,f_percentile,total_giving,m_percentile,RFM,Rank_Pct
13512,C07C3B7C-E751-4480-8014-E4EBE056D709,89,0.9435511460827917,41,0.8589120766335956,17280.0,0.9245295928840233,2.7269928156004104,95.2757252326218
12436,68B189AA-B26F-4CA4-B305-E93011FB655F,142,0.9029079712624016,130,0.973178241532672,5835.0,0.850906602805337,2.7269928156004104,95.2757252326218
12703,4FB8318B-FED3-4A9E-84A3-3B9CC06CB7FA,158,0.8953814574067739,106,0.9613410879233664,7170.0,0.8691070817653096,2.72582962709545,95.26546250684181
13927,EDA11463-CCD9-424C-860B-4BC0F1957435,101,0.9310981867943893,37,0.8414642490591858,33980.0,0.9529250769757099,2.725487512829285,95.25862068965517
13717,91C00E3A-F28D-45FF-AE8E-C27468B36000,367,0.8500855285665412,77,0.9366404379062607,24215.0,0.9385562777967841,2.725282244269586,95.24835796387521
12771,A8305596-CDF6-44C0-AE91-9C3C0B8EBD06,89,0.9435511460827917,58,0.9079028395484092,7590.0,0.8738282586383852,2.725282244269586,95.24835796387521
14088,A59E9F5C-1A8A-4AF5-AB61-CC7499819AD8,820,0.7750940814231954,190,0.9861785836469381,47166.0,0.9639411563462197,2.7252138214163533,95.23809523809523
13832,6A6665DE-3907-4390-BF78-0005D324C589,67,0.9731098186794389,30,0.8050632911392405,29450.0,0.9464249059185768,2.7245980157372562,95.23125342090859
14580,4332661A-93C7-4B37-B03F-D4A06B2307A6,454,0.8290797126240165,54,0.8978446801231611,695508.0,0.9976052001368457,2.724529592884023,95.22099069512862
14443,4CD5DA8A-4540-4BA7-BE2E-E7D91675D2F9,730,0.7869996578857338,90,0.949298665754362,141230.5,0.9882312692439275,2.724529592884023,95.22099069512862
12482,524FE137-BDA3-44D0-83C8-F4C98C42F261,49,0.9780362641122134,52,0.8920287375983579,6055.0,0.8540540540540541,2.7241190557646253,95.21072796934867
13467,7CC5AE15-8CE5-4A23-B6C3-1D55C8D979D7,18,0.9876838864180636,32,0.8147109134450906,16157.65,0.9214505644885391,2.723845364351693,95.20388615216201
12721,A62C85DE-B42D-439C-8726-1327C9E61AC8,58,0.9755730413958262,47,0.877796784125898,7292.5,0.8704071159767363,2.7237769414984605,95.19704433497537
13392,84E95205-0FE1-41AB-9792-75F707C43689,129,0.9094765651727678,54,0.8978446801231611,14620.21,0.9163188504960657,2.7236400957919944,95.19020251778872
13386,259A62B3-6746-43D5-A4DB-A43FF8C77D34,3,0.9968525487512829,31,0.8105371193978789,14520.55,0.9159083133766678,2.7232979815258296,95.18336070060208
13100,8E2185D0-DEE4-4296-8E4D-8614FE07C406,89,0.9435511460827917,49,0.8831337666780705,10600.0,0.8963393773520356,2.723024290112898,95.17651888341544
